ID;"Active (0/1)";"Name *";Description;"Short description";"Meta title";"Meta keywords";"Meta description";"Image URL"
1;1;Castey;descripción;"descripción corta";Castey;Castey;Castey;https://ferreteria.es/media/wysiwyg/castey_1.jpg
2;1;"Carros de compra Playmarket";descripción;"descripción corta";"Carros de compra Playmarket";"Carros de compra Playmarket";"Carros de compra Playmarket";https://ferreteria.es/media/catalog/category/carro-play.jpg
3;1;"Carros de compra Rolser";descripción;"descripción corta";"Carros de compra Rolser";"Carros de compra Rolser";"Carros de compra Rolser";https://ferreteria.es/media/catalog/category/carro-rolser.jpg
4;1;Bra;descripción;"descripción corta";Bra;Bra;Bra;https://ferreteria.es/media/wysiwyg/bra.jpg
5;1;"Cuchillos Arcos";descripción;"descripción corta";"Cuchillos Arcos";"Cuchillos Arcos";"Cuchillos Arcos";https://ferreteria.es/media/catalog/category/cuchillos-arcos.jpg
6;1;"Herramientas Stanley FatMax";descripción;"descripción corta";"Herramientas Stanley FatMax";"Herramientas Stanley FatMax";"Herramientas Stanley FatMax";https://ferreteria.es/media/catalog/category/stanley_fatmax.jpg
7;1;Titanlux;descripción;"descripción corta";Titanlux;Titanlux;Titanlux;https://ferreteria.es/media/catalog/category/pintura_plastica_mate_titan_una_capa.jpg
8;1;Iris;descripción;"descripción corta";Iris;Iris;Iris;https://ferreteria.es/media/wysiwyg/cubos_de_basura_Iris.jpg
9;1;Valira;descripción;"descripción corta";Valira;Valira;Valira;https://ferreteria.es/media/catalog/category/valira-ferreteria.es2.jpg
10;1;"Herramientas Bosch";descripción;"descripción corta";"Herramientas Bosch";"Herramientas Bosch";"Herramientas Bosch";https://ferreteria.es/media/catalog/category/herramientas-bosch.jpg
11;1;Curver;descripción;"descripción corta";Curver;Curver;Curver;https://ferreteria.es/media/wysiwyg/cubos_de_basura_Curver.jpg
12;1;Karcher;descripción;"descripción corta";Karcher;Karcher;Karcher;https://ferreteria.es/media/catalog/category/karcher_2.jpg
13;1;"Programadores Gardena";descripción;"descripción corta";"Programadores Gardena";"Programadores Gardena";"Programadores Gardena";https://ferreteria.es/media/catalog/category/gardena.jpg
14;1;"Barbacoas Weber";descripción;"descripción corta";"Barbacoas Weber";"Barbacoas Weber";"Barbacoas Weber";https://ferreteria.es/media/catalog/category/weber-logo.jpg
15;1;Bruguer;descripción;"descripción corta";Bruguer;Bruguer;Bruguer;https://ferreteria.es/media/catalog/category/Logo_Bruguer.jpg
16;1;"Productos Compo";descripción;"descripción corta";"Productos Compo";"Productos Compo";"Productos Compo";https://ferreteria.es/media/catalog/category/compo.jpg
17;1;Inofix;descripción;"descripción corta";Inofix;Inofix;Inofix;https://ferreteria.es/media/catalog/category/inofix.jpg
18;1;"Herramientas manuales Stanley";descripción;"descripción corta";"Herramientas manuales Stanley";"Herramientas manuales Stanley";"Herramientas manuales Stanley";https://ferreteria.es/media/catalog/category/herramienta-stanley.jpg
19;1;"Woll sartenes y cacerolas de titanio";descripción;"descripción corta";"Woll sartenes y cacerolas de titanio";"Woll sartenes y cacerolas de titanio";"Woll sartenes y cacerolas de titanio";https://ferreteria.es/media/catalog/category/woll.jpg
20;1;Brabantia;descripción;"descripción corta";Brabantia;Brabantia;Brabantia;https://ferreteria.es/media/wysiwyg/cubos_de_basura_Brabantia.jpg
21;1;Woll;descripción;"descripción corta";Woll;Woll;Woll;https://ferreteria.es/media/wysiwyg/sartenes-woll_1.jpg
22;1;Creuset;descripción;"descripción corta";Creuset;Creuset;Creuset;https://ferreteria.es/media/wysiwyg/le-creuset-logo_1.jpg
23;1;Rikon;descripción;"descripción corta";Rikon;Rikon;Rikon;https://ferreteria.es/media/wysiwyg/sartenes_kuhn_rikon.jpg
24;1;Lacor;descripción;"descripción corta";Lacor;Lacor;Lacor;https://ferreteria.es/media/wysiwyg/ollas_lacor.jpg
25;1;Magefesa;descripción;"descripción corta";Magefesa;Magefesa;Magefesa;https://ferreteria.es/media/wysiwyg/ollas_magefesa.jpg
26;1;Garcima;descripción;"descripción corta";Garcima;Garcima;Garcima;https://ferreteria.es/media/wysiwyg/paellas_Garcima.jpg
27;1;Tatay;descripción;"descripción corta";Tatay;Tatay;Tatay;https://ferreteria.es/media/wysiwyg/cubos_de_basura_Tatay.jpg
28;1;Arcos;descripción;"descripción corta";Arcos;Arcos;Arcos;https://ferreteria.es/media/wysiwyg/cuchillos-arcos_1.jpg
29;1;Claveles;descripción;"descripción corta";Claveles;Claveles;Claveles;https://ferreteria.es/media/wysiwyg/tijeras_3_claveles.jpg
30;1;Tescoma;descripción;"descripción corta";Tescoma;Tescoma;Tescoma;https://ferreteria.es/media/wysiwyg/cuchillos_tescoma.jpg
31;1;Weber;descripción;"descripción corta";Weber;Weber;Weber;https://ferreteria.es/media/wysiwyg/barbacoas_weber.jpg
32;1;Alperk;descripción;"descripción corta";Alperk;Alperk;Alperk;https://ferreteria.es/media/wysiwyg/barbacoas_alperk.jpg
33;1;Sauvic;descripción;"descripción corta";Sauvic;Sauvic;Sauvic;https://ferreteria.es/media/wysiwyg/parrillas_Sauvic.jpg
34;1;Imex;descripción;"descripción corta";Imex;Imex;Imex;https://ferreteria.es/media/wysiwyg/cajones_de_barbacoa_Imex.jpg
35;1;Dancook;descripción;"descripción corta";Dancook;Dancook;Dancook;https://ferreteria.es/media/wysiwyg/barbacoas_dancook.jpg
36;1;GRE;descripción;"descripción corta";GRE;GRE;GRE;https://ferreteria.es/media/wysiwyg/piscinas_gre.jpg
37;1;Intex;descripción;"descripción corta";Intex;Intex;Intex;https://ferreteria.es/media/wysiwyg/Intex_logo.jpg
